sentence,label
batti gul hai subah se :(,negative
"@someUSER i had vick and flacco ,  needed an upgrade .  vick may get benched ,  jennings a back up again soon .  i thought it was a win for me .",positive
sabme 1 talent hota h .  .  .  .  .  . ye sabse different hai,positive
is he a machine or a human being sabar rakhiye ji,positive
bc madam tak ko mana kr deti thi chalk dene k liye :-<,negative
nat like kejriwal,neutral
@someUSER why .  do you really want the falcons to go to chicago in jan for the nfc championship game .  go lions .,positive
"socha ,  tha ,  ke ,  aaj tere siwa kuch aur sochu .  .  .  .  subah se shaam ho gayi .  .  aur abhi tak isi  "" soch ""  mein hoon ke tere siwa kya sochu .  .  ?  ?  ?  like this page <3 if u someone love  .",positive
i can totally relate :d :d,neutral
"apne guddu ko koi romantic script to de ke dekho 3:)  ,  .  .  .  aaag lga dega ladka :d :d",positive
@someUSER @someUSER another center ?  gagner is a good cheap 2nd line option that we can afford and keep the kids .,positive
"awesome .  .  .  .  !  !  !  !   "" kya roya h bhai .  . ek baar to meri aankho m aasu aa gye ""  .  .  . ;);)",positive
"i'm going to clutch at buster's billiards &amp; backroom in lexington ,  ky - dec 28 http/URL",neutral
"quiz tomorrow: plot elements in  "" the challenge ""  .  .  .  our current short story from the reading triumphs textbook .  #knighteng6",neutral
im spending my hole friday wit bo we gone blow sme keisha nd grab a pack of blacks nd watch the battle of lebron career vs .  carmelo anthony,neutral
kabhi modi kabhi mamta kabhi kejri kabhi kiran ab kya lalu ya choutala ko sath lekar bharstachar ke ladoge,negative
itni charbi h fir b thand lagti h terko :/,neutral
@someUSER best year ever it will be !  i am tossing the idea of hawaii around for mid jan to mid feb .  but california dreaming for suuure,positive
rip sir :(,neutral
@someUSER i went trick or treating every year of high school except senior year only cuz negros was faking .  im going tomorrow too .,negative
modi ke samne to kasab bhi khada ho jata to ye use vote de dete,negative
launde ko salim feku ka role de ke dekho .  .  .  qutubminar hila dega .,positive
yaar guddu .  .  .  bhai aaj office hai,neutral
ye kabhi nhn ho sakta  .  .  . kabhi nhn .  .  .,negative
taiwan wins visa free travel to us: six taiwanese tourists arrived in new york on thursday as the first from the .  .  .  http/URL,neutral
anna ji .  .  .  .  lok sabha chunav mein varanasi wala episode bhul gaye .  .  .   !  !  !  !,negative
i've just been invited to speak at the world economic forum in davos (@someUSER this january .  thrilled and honored .  http/URL,positive
"@someUSER wow !  you're also a percy jackson fan !  :-) the 4th book of heroes of olympus will be entitled  "" house of hades ""  @someUSER",positive
@someUSER @someUSER i'm on the last 3 episodes for the 10th time .  i still want to bootfuck phil &amp; johnny sac every time they talk .,negative
phir aap koi bhi mobile number free recharge kar sakte hai .  .,positive
mast yaar,positive
i think i may be the only person around not excited that beyonce is the half time performer for the superbowl .,negative
mai aaj bhi .  .  .  .  .  . yahi krke aaya hu .  .  .  .  .  .  .  . ghar se bike par full inner jacket .  .  .  .  .  nd ground me pahuchte hi .  .  .  .  .  .  single t-shirt me :p :d,neutral
reminded me of my college egd clsses .  external viva wale din kaha ki sir raat ko sheets padhte hue galti se mombatti gir gayi aur 7 sheets jal gayi .  .  . jali hui sheets par 10 mai se 8 mile :d acting faad kari thi lekin :p,positive
yaar tabhi mene jamia miliya me admission nahi liya even mera entrace bhi clear ho gya tha bt jo bhi ho do your best  .  .  :),positive
saala pyar bhi aajkal bahut type ka chal raha hai  .  .  .  .  causal type,positive
ammi ko bata do keya 20 keya 1000 bhi mail jaiga,positive
sb feku h g pm,negative
note::jisse yakin na ho wo pehle try kare .  .  !  !,neutral
lela ke saath guddu valentines day nai mana raha kya ?  ?,neutral
abhi chhat pr bhaagega guddu planes dekhne,neutral
@someUSER i want to see white arrows at north star bar sat + @someUSER studio session on wed !  !  !,neutral
abey guddu ka religion kyu change kar diya ?  ?  ?  jesus k jageh god likhna tha !,neutral
"@someUSER much of last season ,  too ,  esp 2nd half .  tho i loved jack white ,  and mick jagger with arcade fire / foo fighters was amazing .",positive
seeing lunchar paaji after a long time :) from chabad chabad-->chomb chomb-->sudup sudup sahi hai,positive
these mauka mauka ads are insulting opponent .  which is not right .,negative
sportsroom guy is not paying any attention .,negative
it has been at least three months since i've heard an lmfao song .  give it another month or two and i may once again venture outside .,neutral
mujhe politics me koi khas interest nahi,neutral
bird on the wire is one of the 1st songs i learned as a child .  and now daddy and i go see leonard cohen !  http/URL,neutral
bohot emotion jude hue hai in sab baatoon se,neutral
"delhi kya desh ko bachayenge namo ,  gadhele akhbaar",positive
yaar tum log kahan gayab ho gaye ho .  kitne kam updates maarte ho .  i believe something big is on .,neutral
hum to teacher ke staff room se le aate thee ya phir office se !,neutral
main gag padhne se pehle hi like maar deta hun .  . pata hai accha hi hoga .  .  . ;),positive
""" final me number judega  ""  wali trik badi sahi thi .  .  !  apne master ji to school ki sari kyari .  . naale .  . nadi kachra sab isi bahane se saf karate the .",negative
i like kiren bedi par i would like to vote for arvind kejriwal,neutral
hahah .  .  .  .  . inhi harqaton ki waja se once i lost my school sweater .  .  .  . or phir jo daant pari thi ammi ki ufffff :p :d,negative
abke schools me to cod aur gta chlega,neutral
itni relliy kar rahe hai modi ji,neutral
hahahahaha .  .  .  .  .  .  .  .  .  .  . hota hai aisa .  koi na koi panauti baithi hoti hai kahi na kahi pe .,negative
hey bhagwan .  .  .  yeh movies bachcho ka satyanash kar rahi hain .  .  :-o :o,negative
garbage bin ka pehle gag hai jispe ladkiyan door door tak comment karti ni dikh ri :d,positive
the pain is far deeper than a billy cundiff missed field goal .  gotta wake up and forget about it tomorrow .  #orioles #stayhungry,neutral
watching tarak mehta ka ulta chasma  ?,neutral
ohhh that is bad  .  .  .  .  god knows where our educatn systm is goin  ?,negative
rehne do beta tumse na ho paiga .  .  .  .  .  .  .  . :),negative
idle bauthe rehna is not going to be fruitful .,positive
@someUSER come over tomorrow ?  :) my mom isn't staying there with me she has to stay with the big dogs at the old house until gordon,positive
@someUSER right !  where is the 2nd vita heaven ?  vita is a zombie right now .  maybe sony is busy on the ps4 and just forgot about the vita .,negative
"@someUSER the 1st thing that came to mind was something from flatbush zombies hahaha or omg ,  biz markie .  or ol' dirty bastard &gt;:)",positive
ye guddu ki tie badalti kyu rehti h ?,neutral
don;t forget to go the cvs tomorrow and get the viagara .  we both know you need all the encouragement you can get !  !  ! dreams and visions boo:(,neutral
pata h murena ka h ye pic,neutral
"mashed out to  "" niggas in paris ""  in the club while in paris .  .  .  as cliche as it may sound .  #weouthere",neutral
anna ji aap bhi a joa dekh lenge kon kitne pane mai h  .  . kajreval ki trap se lad lo pta chal jayega,negative
"i'm going to north mississippi allstars at neighborhood theatre in charlotte ,  nc - sep 21 http/URL",neutral
"parma's 3-1 v roma: biabiany was offside on the 1st pass attempt ,  but the ball stopped on the wet pitch and he received the ball on 2nd one !",neutral
"i really have to find my dress for saturday .  i may have to go with plan b dress ,  which is fine too .",neutral
"and if you're from maryland ,  early voting has been extended until tomorrow at 9pm .  please go vote !",neutral
@someUSER ah okay was hoping to see you out friday !  next time i'm staying at harry's we should meet up in kingston !  xx,positive
nice to see your mom along with you and not busy cooking in the kitchen .  .  :) mom makes the new year even more happier,positive
madam ji andar ke kalakar ko nahin pahachan rahi hai,negative
hame bachpan se y batane ki kossis ki jati hai .  .  .  what is scam ?,negative
sabse best s power tha .  .  full goliyon ki bauchaar :),positive
@someUSER we goin to fairground tomorrow i'm picking you up from work,neutral
i know it's in january but i cant wait for the royal rumble #wwe,positive
catholics tomorrow is the holy day of all saints many many gave their lives for jesus and the church .  all the saints defended the church !  !,positive
"nintendo  ,  awesome  .  .  .  kaha hai ye school mujhe bhi jana hai :p",positive
ye ek din khud majak bankar rah jayega,negative
@someUSER only you can answer before i try !  there's on wp8 a way to call 3rd p .  apps ?  like intents on android .  i wanna switch to wp !,positive
bhaiyo aman ki bto m mt aana ye bjp ko bdnam karne ki sajish hai .  ab aap log congress ke piche kyu ni padte unse dosti ho gayi hai aap logo ki isliye .,negative
"they could have won it ,  agar ladki and advertisement se time mile to .  .  .  .  ;)",neutral
bt .  .  . iske maximum games boor hote the,negative
rohit sharma ji ankit jindal ji ye dwkho sharma ji ka luanda pit ra he :) :) :v :v,negative
next screen iska exam hona chahiye,neutral
hamare yahan kushwaha sir maths teacher they .  .  .  lottery khelte rehte the english teacher dixit sir ke sath .  .  .  .,neutral
"hello from dublin !  tomorrow we're playing at the button factory .  onstage at 9 ,  but if you come for @someUSER at 8 ,  you won't regret it !",positive
game 3 tomorrow !  !  !  i'm excited in this shit than the coming pro bowl haha,positive
